Type,Name,url,Desc
,OSINT framework,https://osintframework.com/,"When in doubt, check the framework"
Social Media,What's my name,https://whatsmyname.app,Use all potential usernames to find social media posts and accounts
Social Media,MOSINT,https://github.com/alpkeskin/mosint,Email checker
Wifi and communications,wigle,https://wigle.net/,"Find information about wifi APs, cell or bluetooth devices "
Breached Data,Psbdmp,https://psbdmp.ws/,Paste bin check
Breached Data,Intellegence X,https://intelx.io/,"Search for breach databases, give breach file name"
Breached Data,Breach Dictionary,https://breachdirectory.org/,"Search for breached credentials, give hashed password"
Breached Data,PenTester,https://pentester.com/,"Pretty interface and decent result of breached data, including your ip and username"
Service attack surface,LeakIX,https://leakix.net/,"Search for misconfigured exposed services"
Service attack surface,Censys,https://search.censys.io/,"Records of attack surface and threats gathering"
Privacy,blacklight,https://themarkup.org/blacklight,Look for website trackers